,origin,dest,carrier,arr_delay,arr_delay,arr_delay,arr_delay,air_time,air_time,air_time,air_time,distance,distance,distance,distance,air_speed (mph),air_speed (mph),air_speed (mph),air_speed (mph),start_long,start_lati,end_long,end_lati
,,,,count,mean,min,max,count,mean,min,max,count,mean,min,max,count,mean,min,max,,,,
0,EWR,ALB,ExpressJet Airlines Inc.,418,14.397129186602871,-34.0,328.0,418,31.78708133971292,24.0,50.0,439,143.0,143,143,418,272.30097609682247,171.6,357.5,-74.168701171875,40.69250106811523,-73.80169677734375,42.74829864501953
2,EWR,ATL,Endeavor Air Inc.,4,-6.25,-24.0,15.0,4,111.0,105.0,117.0,4,746.0,746,746,4,403.89955334373616,382.5641025641026,426.2857142857143,-74.168701171875,40.69250106811523,-84.4281005859375,33.63669967651367
3,EWR,ATL,Delta Air Lines Inc.,3116,9.996469833119384,-38.0,796.0,3116,110.85365853658537,88.0,176.0,3153,746.0,746,746,3116,406.5420934777167,254.31818181818184,508.6363636363637,-74.168701171875,40.69250106811523,-84.4281005859375,33.63669967651367
4,EWR,ATL,ExpressJet Airlines Inc.,1654,19.546553808948005,-39.0,454.0,1654,114.04232164449819,90.0,161.0,1762,746.0,746,746,1654,395.94554238012694,278.0124223602485,497.3333333333333,-74.168701171875,40.69250106811523,-84.4281005859375,33.63669967651367
5,EWR,ATL,United Air Lines Inc.,102,10.5,-37.0,360.0,102,113.6470588235294,97.0,142.0,103,746.0,746,746,102,396.5772255272971,315.2112676056338,461.44329896907215,-74.168701171875,40.69250106811523,-84.4281005859375,33.63669967651367
6,EWR,AUS,United Air Lines Inc.,664,4.27710843373494,-59.0,349.0,664,211.27560240963857,174.0,301.0,670,1504.0,1504,1504,664,430.2396253794616,299.80066445182723,518.6206896551724,-74.168701171875,40.69250106811523,-97.6698989868164,30.194499969482425
7,EWR,AUS,Southwest Airlines Co.,293,-11.242320819112628,-53.0,160.0,293,211.18430034129693,180.0,268.0,298,1504.0,1504,1504,293,429.9677147540685,336.7164179104478,501.3333333333333,-74.168701171875,40.69250106811523,-97.6698989868164,30.194499969482425
8,EWR,AVL,ExpressJet Airlines Inc.,251,8.804780876494023,-26.0,228.0,251,89.79681274900399,76.0,119.0,265,583.0,583,583,251,392.10202918988347,293.94957983193274,460.2631578947369,-74.168701171875,40.69250106811523,-82.54180145263672,35.43619918823242
9,EWR,BDL,ExpressJet Airlines Inc.,405,6.780246913580247,-43.0,266.0,405,25.45925925925926,20.0,56.0,435,116.0,116,116,405,277.1228968810793,124.28571428571428,348.0,-74.168701171875,40.69250106811523,-72.68319702149999,41.9388999939
10,EWR,BDL,United Air Lines Inc.,7,22.571428571428573,-18.0,136.0,7,25.857142857142858,23.0,29.0,8,116.0,116,116,7,270.2539894887721,240.0,302.6086956521739,-74.168701171875,40.69250106811523,-72.68319702149999,41.9388999939
11,EWR,BNA,ExpressJet Airlines Inc.,1677,17.69886702444842,-41.0,364.0,1677,115.38700059630293,70.0,176.0,1767,748.0,748,748,1677,392.4189744667988,255.00000000000003,641.1428571428571,-74.168701171875,40.69250106811523,-86.6781997680664,36.1245002746582
12,EWR,BNA,Southwest Airlines Co.,564,-2.131205673758865,-40.0,361.0,564,111.89893617021276,89.0,172.0,569,748.0,748,748,564,403.86054833963925,260.93023255813955,504.2696629213483,-74.168701171875,40.69250106811523,-86.6781997680664,36.1245002746582
13,EWR,BOS,JetBlue Airways,1794,6.868450390189521,-47.0,422.0,1794,40.571348940914156,31.0,99.0,1826,200.0,200,200,1794,299.50580198267176,121.21212121212122,387.09677419354836,-74.168701171875,40.69250106811523,-71.00520325,42.36429977
14,EWR,BOS,ExpressJet Airlines Inc.,156,-4.012820512820513,-29.0,134.0,156,39.72435897435897,32.0,63.0,159,200.0,200,200,156,305.1219882867575,190.47619047619048,375.0,-74.168701171875,40.69250106811523,-71.00520325,42.36429977
15,EWR,BOS,United Air Lines Inc.,3297,4.065514103730664,-40.0,396.0,3297,40.19987867758569,30.0,112.0,3342,200.0,200,200,3297,302.36026783154335,107.14285714285714,400.0,-74.168701171875,40.69250106811523,-71.00520325,42.36429977
17,EWR,BTV,ExpressJet Airlines Inc.,886,12.186230248306998,-41.0,306.0,886,46.25733634311512,34.0,69.0,931,266.0,266,266,886,347.0220730899041,231.30434782608697,469.4117647058824,-74.168701171875,40.69250106811523,-73.15329742429998,44.471900939899996
18,EWR,BUF,ExpressJet Airlines Inc.,936,9.696581196581196,-38.0,300.0,936,51.15384615384615,40.0,70.0,973,282.0,282,282,936,332.7232336160514,241.7142857142857,423.0,-74.168701171875,40.69250106811523,-78.73220062,42.94049835
19,EWR,BWI,ExpressJet Airlines Inc.,339,20.05604719764012,-33.0,233.0,339,36.932153392330385,31.0,59.0,352,169.0,169,169,339,277.57580052734403,171.86440677966104,327.09677419354836,-74.168701171875,40.69250106811523,-76.66829681,39.17539978
20,EWR,BWI,Southwest Airlines Co.,185,5.951351351351351,-24.0,255.0,185,37.58918918918919,31.0,59.0,193,169.0,169,169,185,272.41018536927635,171.86440677966104,327.09677419354836,-74.168701171875,40.69250106811523,-76.66829681,39.17539978
21,EWR,BZN,United Air Lines Inc.,35,7.6,-25.0,154.0,35,258.37142857142857,241.0,287.0,36,1882.0,1882,1882,35,438.0480696954565,393.4494773519164,468.54771784232366,-74.168701171875,40.69250106811523,-111.1529999,45.77750015
22,EWR,CAE,ExpressJet Airlines Inc.,94,44.58510638297872,-25.0,224.0,94,92.14893617021276,79.0,116.0,104,602.0,602,602,94,394.58227929927585,311.37931034482756,457.2151898734177,-74.168701171875,40.69250106811523,-81.11949920654297,33.93880081176758
23,EWR,CHS,ExpressJet Airlines Inc.,1342,16.208643815201192,-38.0,331.0,1342,95.74962742175857,75.0,133.0,1423,628.0,628,628,1342,396.35159288429514,283.30827067669173,502.4,-74.168701171875,40.69250106811523,-80.04049683,32.89860153
24,EWR,CHS,United Air Lines Inc.,1,-14.0,-14.0,-14.0,1,91.0,91.0,91.0,1,628.0,628,628,1,414.0659340659341,414.0659340659341,414.0659340659341,-74.168701171875,40.69250106811523,-80.04049683,32.89860153
25,EWR,CLE,ExpressJet Airlines Inc.,167,-3.7065868263473054,-35.0,292.0,167,66.20359281437126,57.0,88.0,169,404.0,404,404,167,368.45943478918684,275.4545454545455,425.2631578947369,-74.168701171875,40.69250106811523,-81.8498001099,41.411701202399996
26,EWR,CLE,United Air Lines Inc.,1563,5.969929622520794,-52.0,386.0,1563,66.28470889315419,54.0,100.0,1585,404.0,404,404,1563,368.41541415792466,242.39999999999998,448.88888888888886,-74.168701171875,40.69250106811523,-81.8498001099,41.411701202399996
27,EWR,CLT,ExpressJet Airlines Inc.,1714,20.492415402567094,-49.0,506.0,1714,86.34714119019837,64.0,129.0,1792,529.0,529,529,1714,371.04746699528016,246.046511627907,495.9375,-74.168701171875,40.69250106811523,-80.94309997558594,35.2140007019043
28,EWR,CLT,United Air Lines Inc.,2,14.5,5.0,24.0,2,101.5,99.0,104.0,2,529.0,529,529,2,312.8991841491842,305.1923076923077,320.6060606060606,-74.168701171875,40.69250106811523,-80.94309997558594,35.2140007019043
29,EWR,CLT,US Airways Inc.,3177,0.92036512433113,-42.0,492.0,3177,84.22536984576645,67.0,147.0,3232,529.0,529,529,3177,380.8510954374606,215.91836734693877,473.7313432835821,-74.168701171875,40.69250106811523,-80.94309997558594,35.2140007019043
30,EWR,CMH,ExpressJet Airlines Inc.,686,9.60204081632653,-39.0,376.0,686,76.31049562682216,57.0,103.0,724,463.0,463,463,686,366.45276690400283,269.7087378640777,487.3684210526316,-74.168701171875,40.69250106811523,-82.89189910888672,39.99800109863281
31,EWR,CVG,Endeavor Air Inc.,796,1.4045226130653266,-43.0,311.0,796,95.33793969849246,79.0,146.0,855,569.0,569,569,796,360.5713330436638,233.8356164383562,432.1518987341772,-74.168701171875,40.69250106811523,-84.6678009033,39.0488014221
