,color,f_interval,f_proportion,left,name,proportion,right
0,#c5b0d5,-120 to -115 minutes,0.00000,-120.0,AirTran Airways Corporation,0.0,-115.0
1,#c5b0d5,-115 to -110 minutes,0.00000,-115.0,AirTran Airways Corporation,0.0,-110.0
2,#c5b0d5,-110 to -105 minutes,0.00000,-110.0,AirTran Airways Corporation,0.0,-105.0
3,#c5b0d5,-105 to -100 minutes,0.00000,-105.0,AirTran Airways Corporation,0.0,-100.0
4,#c5b0d5,-100 to -95 minutes,0.00000,-100.0,AirTran Airways Corporation,0.0,-95.0
5,#c5b0d5,-95 to -90 minutes,0.00000,-95.0,AirTran Airways Corporation,0.0,-90.0
6,#c5b0d5,-90 to -85 minutes,0.00000,-90.0,AirTran Airways Corporation,0.0,-85.0
7,#c5b0d5,-85 to -80 minutes,0.00000,-85.0,AirTran Airways Corporation,0.0,-80.0
8,#c5b0d5,-80 to -75 minutes,0.00000,-80.0,AirTran Airways Corporation,0.0,-75.0
9,#c5b0d5,-75 to -70 minutes,0.00000,-75.0,AirTran Airways Corporation,0.0,-70.0
10,#c5b0d5,-70 to -65 minutes,0.00000,-70.0,AirTran Airways Corporation,0.0,-65.0
11,#c5b0d5,-65 to -60 minutes,0.00000,-65.0,AirTran Airways Corporation,0.0,-60.0
12,#c5b0d5,-60 to -55 minutes,0.00000,-60.0,AirTran Airways Corporation,0.0,-55.0
13,#c5b0d5,-55 to -50 minutes,0.00000,-55.0,AirTran Airways Corporation,0.0,-50.0
14,#c5b0d5,-50 to -45 minutes,0.00000,-50.0,AirTran Airways Corporation,0.0,-45.0
15,#c5b0d5,-45 to -40 minutes,0.00166,-45.0,AirTran Airways Corporation,0.0016550810989738498,-40.0
16,#c5b0d5,-40 to -35 minutes,0.00166,-40.0,AirTran Airways Corporation,0.0016550810989738498,-35.0
17,#c5b0d5,-35 to -30 minutes,0.00497,-35.0,AirTran Airways Corporation,0.004965243296921549,-30.0
18,#c5b0d5,-30 to -25 minutes,0.01589,-30.0,AirTran Airways Corporation,0.015888778550148957,-25.0
19,#c5b0d5,-25 to -20 minutes,0.03178,-25.0,AirTran Airways Corporation,0.031777557100297914,-20.0
20,#c5b0d5,-20 to -15 minutes,0.05627,-20.0,AirTran Airways Corporation,0.05627275736511089,-15.0
21,#c5b0d5,-15 to -10 minutes,0.08375,-15.0,AirTran Airways Corporation,0.0837471036080768,-10.0
22,#c5b0d5,-10 to -5 minutes,0.09732,-10.0,AirTran Airways Corporation,0.09731876861966236,-5.0
23,#c5b0d5,-5 to 0 minutes,0.10758,-5.0,AirTran Airways Corporation,0.10758027143330023,0.0
24,#c5b0d5,0 to 5 minutes,0.11255,0.0,AirTran Airways Corporation,0.11254551473022179,5.0
25,#c5b0d5,5 to 10 minutes,0.09004,5.0,AirTran Airways Corporation,0.09003641178417743,10.0
26,#c5b0d5,10 to 15 minutes,0.08342,10.0,AirTran Airways Corporation,0.08341608738828203,15.0
27,#c5b0d5,15 to 20 minutes,0.05727,15.0,AirTran Airways Corporation,0.0572658060244952,20.0
28,#c5b0d5,20 to 25 minutes,0.04535,20.0,AirTran Airways Corporation,0.04534922211188348,25.0
29,#c5b0d5,25 to 30 minutes,0.03443,25.0,AirTran Airways Corporation,0.034425686858656074,30.0
